NUM,CENTRO,Servicio,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14
8,C1,VV,x3,x2,x4,x3,x4,x4,x4,x4,x3,x3,x3,x3,x4,x4
9,C1,VV,x1,x2,x3,x4,x4,x3,x4,x3,x1,x1,x3,x3,x3,x2
10,C1,VV,x2,x3,x4,x4,x5,x3,x5,x4,x3,x1,x4,x5,x4,x5
1,C2,VV,x4,x4,x5,x4,x5,x4,x4,x4,x4,x4,x4,x5,x5,x5
2,C2,VV,x2,x3,x3,x4,x5,x5,x4,x4,x3,x3,x4,x4,x4,x5
3,C2,VV,x3,x3,x2,x4,x3,x4,x5,x4,x1,x2,x4,x5,x4,x4
4,C2,VV,x3,x2,x3,x5,x2,x3,x3,x4,x1,x2,x5,x5,x4,x3
5,C2,VV,x3,x3,NA,x4,x3,x3,x4,x4,x4,x4,x4,x4,x4,x5
6,C2,VV,x3,x3,x2,x4,x3,x4,x5,x4,x1,x2,x4,x5,x4,x4
7,C2,VV,x2,x4,x4,x4,x4,x3,x4,x4,x4,x4,x4,x4,x5,x5
8,C2,VV,x3,x3,x4,x4,x3,x4,x4,NA,x4,x4,x4,x5,x4,x5
9,C2,VV,x3,x3,x4,x4,x4,x4,x4,x4,x4,x3,x5,x4,x4,x5
10,C2,VV,x2,x2,x2,x4,x3,x4,x3,x4,x3,x5,x4,x4,x4,x4
11,C2,VV,x3,x3,x2,x4,x4,x4,x3,x3,x2,x1,x4,x4,x4,x4
1,C1,CD,x3,x3,x3,x3,x3,x3,x3,x3,x3,x3,x3,x3,x3,x4
2,C1,CD,x4,x2,x4,x3,x4,x4,x4,x5,x4,x4,x4,x5,x3,x5
3,C1,CD,x2,x3,x3,x2,x4,x3,x3,x4,x1,x2,x3,x3,x3,x4
4,C1,CD,x2,x4,x5,x3,x4,x5,x3,x5,x4,x5,x3,x5,x4,x5
5,C1,CD,x2,x1,x5,NA,x4,x4,x4,x5,x3,x5,x5,x5,x4,x4
6,C1,CD,x4,x4,x4,x4,x4,x3,x5,x4,x4,x4,x4,x4,x3,x4
1,C1,RH,x2,x2,x4,x4,x3,x4,x3,x3,x4,x4,x4,x5,x4,x4
2,C1,RH,x3,x3,x5,x4,x5,x4,x4,x4,x4,x4,x3,x4,x4,x5
1,C1,Cz,x4,x4,x5,x4,x4,x4,x5,x5,x5,x4,x4,x5,x4,x5
2,C1,Cz,x4,x5,x5,x5,x5,x5,x5,x5,x5,x5,x5,x5,x5,x5
3,C1,Cz,x4,x4,x3,x5,x5,x4,x5,x5,x3,x2,x5,x5,x5,x4
4,C1,Cz,x5,x3,x4,x5,x5,x5,x5,x5,x1,x2,x5,x4,x5,x3
5,C1,Cz,x4,x2,x5,x4,x4,x4,x2,x4,x4,x3,x3,x3,x4,x5
6,C1,Cz,x5,x5,x5,x5,x5,x5,x5,x5,x5,x5,x5,x5,x5,x5
7,C1,Cz,x4,x3,x3,x5,x4,x3,x3,x3,x1,x2,x5,x3,x3,x5
8,C1,Cz,x5,x5,x5,x5,x5,x5,x5,x5,NA,x5,x5,NA,x4,x4
9,C1,Cz,x4,x4,x4,x4,x3,x4,x4,x4,x4,x4,x4,x4,x5,x5
10,C1,Cz,x4,x3,x2,x4,x3,x2,x3,x3,x3,x3,x4,x4,x3,x4
11,C1,Cz,x4,x4,x3,x4,x5,x5,x4,x5,x3,x3,x4,x5,x5,x5
12,C1,Cz,x3,x3,x4,x3,x4,x4,x3,x3,x3,x3,x5,x5,x5,x4
13,C1,Cz,x5,x5,x5,x4,x5,x5,x5,x5,x5,x5,x4,x5,x3,x5
14,C1,Cz,x4,x3,x4,x4,x5,x5,x5,x4,x3,x3,x4,x5,x5,x5
15,C1,Cz,x4,x3,x4,x4,x4,x4,x4,x4,x3,x3,x5,x5,x5,x5
16,C1,Cz,x4,x4,x5,x5,x5,x5,x4,x4,x4,x4,x5,x5,x5,x5
17,C1,Cz,x4,x4,x3,x4,x4,x4,x4,x5,x2,x4,x5,x5,x3,x5
1,C1,SSG,x3,x2,x4,x3,x4,x4,x4,x4,x4,x4,x4,x3,x4,x4
2,C1,SSG,x2,x2,x4,x4,x4,x3,x4,x4,x3,x3,x3,x4,x3,x5
3,C1,SSG,x2,x1,x3,x4,x4,x5,x4,x4,x1,x3,x4,x4,x4,x5
4,C1,SSG,x2,x1,x4,x4,x5,x5,x5,x5,x3,x3,x4,x5,x5,x4
5,C1,SSG,x3,x3,x4,x5,x4,x4,x3,x3,x4,x5,x4,x2,x3,x4
6,C1,SSG,x3,x3,x5,x4,x5,x5,x4,x5,x5,x4,x5,x5,x4,x5
7,C1,SSG,x3,x3,x4,x4,x3,x4,x2,x3,x3,x5,x4,x3,x4,x4
8,C1,SSG,x3,x3,x3,x4,x4,x4,x4,x4,x4,x4,x4,x5,x5,x5
9,C1,SSG,x3,x3,x3,x3,x4,x4,x3,x2,x2,x2,x4,x4,x4,x4
10,C1,SSG,x3,x2,x5,x5,x5,x5,x4,x5,x5,x5,x5,x5,x4,x4
11,C1,SSG,x3,x2,x5,x4,x5,x3,x4,x4,x2,0,x4,x5,x5,0
12,C1,SSG,x3,x3,x4,x4,x4,x4,x4,x5,x4,x4,x5,x5,x4,x5
13,C1,SSG,x4,x4,x4,x5,x5,x5,x4,x3,x3,x5,x5,x4,x5,x5
14,C1,SSG,x4,x3,x5,x5,x4,x5,x3,x5,x4,x4,x4,x5,x5,x5
15,C1,SSG,x3,x3,x4,x3,x4,x4,x3,x4,x3,x3,x4,x4,x3,x5
16,C2,SSG,x3,x3,x4,NA,x3,x4,x4,x3,x3,x1,x3,x3,x3,0
17,C2,SSG,x3,x3,x4,x4,x5,x4,x3,x4,x5,x4,x4,x5,x4,x4
18,C2,SSG,x3,x3,x3,x4,x4,x4,x4,x4,x4,x4,x3,x4,x3,x3
1,C1,x,x1,x1,x2,x3,x4,x3,x3,x3,0,x1,x2,x2,x3,x3
2,C1,x,x2,x2,x3,x3,x3,x3,x3,x3,x2,x2,x3,x3,x3,x2
3,C1,x,x1,x2,x4,x4,x4,x4,x4,x4,x3,x2,x4,x4,x4,x3
4,C1,x,x3,x3,x4,x4,x4,x4,x4,x4,x4,x4,x4,x4,x4,x3
